index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
7961,F,Y,Y,2,67500.0,Working,Higher education,Married,House / apartment,-11925,-1621,1,0,0,0,,4.0,-4.0,2.0
7962,F,N,Y,2,90000.0,Working,Higher education,Married,House / apartment,-14643,-3922,1,0,1,0,Core staff,4.0,-19.0,2.0
7963,F,N,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,-19614,-2878,1,0,0,0,Managers,3.0,-18.0,2.0
7964,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20900,365243,1,0,1,0,,2.0,-21.0,1.0
7965,F,N,Y,0,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12914,-278,1,0,0,1,Laborers,1.0,-30.0,1.0
7966,M,Y,Y,1,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18948,365243,1,0,0,0,,3.0,-34.0,2.0
7967,F,N,Y,0,167400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19028,365243,1,0,0,0,,2.0,-58.0,1.0
7968,M,Y,Y,1,324000.0,Working,Higher education,Married,House / apartment,-11296,-3181,1,1,1,0,High skill tech staff,3.0,-36.0,2.0
7969,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22788,365243,1,0,0,0,,2.0,-6.0,1.0
7970,F,Y,Y,0,360000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-23398,365243,1,0,0,0,,2.0,-50.0,2.0
7971,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-13012,-1342,1,0,1,0,Sales staff,3.0,-1.0,0.0
7972,F,N,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,-11262,-1779,1,1,1,0,Waiters/barmen staff,3.0,-19.0,1.0
7973,F,N,Y,2,337500.0,State servant,Higher education,Married,House / apartment,-15648,-4157,1,1,0,1,Managers,4.0,-6.0,0.0
7974,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21358,365243,1,0,0,0,,2.0,-45.0,2.0
7975,M,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13777,-460,1,1,0,0,Laborers,4.0,-48.0,2.0
7976,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,-12782,-1078,1,0,0,0,Laborers,3.0,-5.0,1.0
7977,F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-17223,-803,1,0,0,0,Medicine staff,2.0,-15.0,2.0
7978,F,N,Y,3,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16694,-412,1,1,1,0,Sales staff,5.0,-52.0,1.0
7979,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-17202,-1787,1,0,0,0,Sales staff,2.0,-59.0,1.0
7980,F,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22447,365243,1,0,1,0,,1.0,-36.0,2.0
7981,F,N,N,0,157500.0,State servant,Secondary / secondary special,Single / not married,With parents,-9621,-1769,1,0,0,0,Medicine staff,1.0,-44.0,2.0
7982,F,Y,N,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-15175,-3046,1,0,1,0,Managers,2.0,-27.0,2.0
7983,M,N,Y,0,270000.0,Working,Higher education,Married,House / apartment,-13554,-3965,1,0,1,0,Managers,2.0,-23.0,2.0
7984,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-16933,-10384,1,1,1,0,Medicine staff,2.0,-9.0,2.0
7985,M,Y,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-23424,-14887,1,0,0,0,Laborers,2.0,-12.0,0.0
7986,M,Y,N,2,135000.0,Working,Secondary / secondary special,Married,With parents,-16625,-561,1,0,0,0,,4.0,-55.0,2.0
7987,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,-13202,-2646,1,1,0,0,Laborers,2.0,-49.0,2.0
7988,F,N,N,0,180000.0,Working,Incomplete higher,Widow,House / apartment,-19629,-1897,1,1,1,0,Core staff,1.0,-13.0,2.0
7989,F,N,Y,2,202500.0,State servant,Secondary / secondary special,Married,Co-op apartment,-14032,-1777,1,0,0,0,High skill tech staff,4.0,-12.0,2.0
7990,F,N,Y,0,252000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21084,365243,1,0,0,0,,2.0,-15.0,2.0
7991,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-19124,-670,1,0,0,0,,1.0,-58.0,2.0
7992,F,N,Y,0,193500.0,State servant,Higher education,Married,House / apartment,-11124,-1159,1,0,0,0,Core staff,2.0,-21.0,0.0
7993,F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14469,-504,1,0,0,0,Core staff,2.0,-39.0,2.0
7994,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14058,-3694,1,0,0,0,Realty agents,3.0,-54.0,2.0
7995,M,Y,Y,0,139500.0,Working,Secondary / secondary special,Separated,House / apartment,-14031,-169,1,0,0,0,High skill tech staff,1.0,-3.0,1.0
7996,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18590,-3382,1,0,1,0,Laborers,2.0,-23.0,1.0
7997,F,N,Y,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,-18067,-6517,1,1,1,1,High skill tech staff,2.0,-52.0,0.0
7998,F,N,N,0,450000.0,Working,Secondary / secondary special,Married,House / apartment,-18826,-686,1,0,0,0,Laborers,2.0,-3.0,1.0
7999,F,Y,Y,1,315000.0,State servant,Higher education,Married,House / apartment,-13771,-2080,1,0,0,0,Core staff,3.0,-21.0,0.0
8000,M,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12494,-978,1,0,0,0,Laborers,1.0,-8.0,2.0
8001,F,N,Y,0,202500.0,Working,Secondary / secondary special,Widow,House / apartment,-17782,-9975,1,0,0,0,Core staff,1.0,-53.0,2.0
8002,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-18934,-1915,1,0,1,0,Laborers,3.0,-26.0,2.0
8003,F,N,Y,0,49500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24143,365243,1,0,1,0,,1.0,0.0,0.0
8004,M,Y,N,0,119250.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17542,-645,1,0,0,1,Drivers,2.0,-32.0,0.0
8005,F,N,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,-11416,-420,1,0,0,0,High skill tech staff,3.0,-14.0,2.0
8006,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-11279,-508,1,0,0,0,Laborers,3.0,-50.0,2.0
8007,M,Y,N,0,225000.0,State servant,Higher education,Married,Co-op apartment,-14536,-3415,1,0,1,0,Managers,2.0,-12.0,2.0
8008,F,N,N,0,292500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15556,-8767,1,0,0,0,,1.0,-15.0,2.0
8009,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22452,365243,1,0,0,0,,1.0,-43.0,2.0
8010,F,N,N,2,225000.0,Working,Secondary / secondary special,Married,With parents,-12244,-2361,1,0,0,0,Sales staff,4.0,-23.0,2.0
8011,M,Y,Y,0,382500.0,Working,Higher education,Separated,House / apartment,-14806,-710,1,1,1,0,Managers,1.0,-20.0,1.0
8012,M,Y,N,0,252000.0,Working,Higher education,Married,House / apartment,-15227,-5300,1,1,1,0,Laborers,2.0,-55.0,2.0
8013,F,Y,Y,1,560250.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12987,-2330,1,0,0,0,Sales staff,2.0,-2.0,1.0
8014,F,N,Y,1,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,-9734,-2049,1,1,1,1,Core staff,3.0,-39.0,2.0
8015,F,Y,N,3,675000.0,Working,Secondary / secondary special,Married,House / apartment,-13808,-1831,1,0,0,0,Managers,5.0,-23.0,2.0
8016,F,N,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,-14402,-1059,1,0,0,1,Sales staff,2.0,-24.0,2.0
8017,F,N,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15964,-5717,1,0,0,0,Core staff,2.0,-49.0,0.0
8018,M,N,Y,0,337500.0,Working,Secondary / secondary special,Married,House / apartment,-20562,-2178,1,0,0,0,Drivers,2.0,-29.0,2.0
8019,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9373,-1212,1,0,0,0,Drivers,2.0,-32.0,2.0
8020,F,Y,Y,1,630000.0,Working,Secondary / secondary special,Married,House / apartment,-17755,-401,1,0,0,0,,3.0,-11.0,0.0
8021,F,Y,Y,0,247500.0,Working,Incomplete higher,Separated,House / apartment,-19672,-1375,1,1,0,0,Accountants,1.0,-22.0,0.0
8022,M,Y,N,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-18484,-461,1,0,1,0,Drivers,2.0,-60.0,0.0
8023,F,N,Y,0,162000.0,Working,Higher education,Married,House / apartment,-17383,-4692,1,0,0,0,Medicine staff,2.0,-42.0,2.0
8024,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-20713,-1621,1,0,0,0,Laborers,2.0,-13.0,1.0
8025,F,N,Y,0,204750.0,Working,Secondary / secondary special,Widow,House / apartment,-21240,-1495,1,1,0,0,,1.0,-30.0,2.0
8026,M,N,N,0,202500.0,Working,Secondary / secondary special,Married,Municipal apartment,-17696,-412,1,0,0,0,Laborers,2.0,-50.0,2.0
8027,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22976,365243,1,0,0,0,,1.0,-34.0,0.0
8028,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,With parents,-15675,-8691,1,1,1,0,Medicine staff,2.0,-45.0,2.0
8029,F,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11159,-856,1,0,0,0,Sales staff,3.0,-52.0,1.0
8030,M,Y,Y,0,184500.0,State servant,Higher education,Married,House / apartment,-13916,-169,1,0,0,0,Managers,2.0,0.0,1.0
8031,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-21098,-5554,1,1,1,0,Drivers,2.0,-13.0,2.0
8032,F,N,Y,0,135000.0,Pensioner,Lower secondary,Married,House / apartment,-22569,365243,1,0,0,0,,2.0,-4.0,2.0
8033,M,N,Y,0,360000.0,Commercial associate,Higher education,Single / not married,House / apartment,-13538,-2019,1,0,1,0,Laborers,1.0,-5.0,2.0
8034,F,N,N,0,117000.0,Working,Higher education,Married,House / apartment,-19300,-2143,1,1,1,0,,2.0,-45.0,2.0
8035,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15509,-1189,1,1,1,0,Drivers,2.0,-37.0,2.0
8036,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-16641,-1407,1,0,0,0,,1.0,-35.0,1.0
8037,F,N,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12589,-4096,1,0,1,0,Laborers,4.0,-4.0,0.0
8038,F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-8573,-121,1,0,0,1,Accountants,2.0,-5.0,2.0
8039,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20726,365243,1,0,0,0,,2.0,-3.0,0.0
8040,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14813,-657,1,0,0,0,High skill tech staff,2.0,-14.0,1.0
8041,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22234,365243,1,0,0,0,,2.0,-29.0,2.0
8042,F,N,Y,2,135000.0,Working,Incomplete higher,Married,House / apartment,-10598,-2175,1,0,0,1,Sales staff,4.0,-59.0,2.0
8043,M,Y,Y,0,247500.0,Working,Higher education,Married,House / apartment,-12843,-2609,1,0,0,0,Managers,2.0,-46.0,2.0
8044,F,N,N,0,135000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-15429,-1589,1,0,0,0,Core staff,1.0,-21.0,0.0
8045,M,N,Y,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13702,-3565,1,1,1,0,Laborers,5.0,-34.0,2.0
8046,M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,-18013,-1215,1,0,0,0,Laborers,2.0,-17.0,0.0
8047,M,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23462,365243,1,0,0,0,,2.0,-17.0,2.0
8048,M,N,N,0,265500.0,State servant,Higher education,Single / not married,With parents,-10361,-472,1,0,0,0,Core staff,1.0,-5.0,2.0
8049,F,N,Y,0,90000.0,Pensioner,Higher education,Married,House / apartment,-22286,365243,1,0,1,0,,2.0,-7.0,1.0
8050,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19431,-6226,1,0,0,0,High skill tech staff,2.0,-21.0,2.0
8051,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9547,-1340,1,0,0,0,Drivers,3.0,-33.0,1.0
8052,F,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-16805,-806,1,0,0,0,,2.0,-36.0,2.0
8053,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-21684,-2422,1,0,0,0,Drivers,2.0,-20.0,2.0
8054,M,N,Y,2,135000.0,Pensioner,Higher education,Married,House / apartment,-16372,365243,1,0,0,0,,4.0,-11.0,0.0
8055,F,N,Y,0,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-11375,-1236,1,0,0,0,Sales staff,1.0,-52.0,2.0
8056,M,Y,N,2,157500.0,Commercial associate,Higher education,Separated,Office apartment,-13514,-1357,1,0,1,0,Managers,3.0,-57.0,0.0
8057,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20907,365243,1,0,0,0,,2.0,-34.0,2.0
8058,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21042,365243,1,0,1,0,,2.0,-18.0,0.0
8059,M,N,N,1,225000.0,Commercial associate,Higher education,Married,House / apartment,-18086,-1922,1,0,0,0,Managers,3.0,-59.0,0.0
8060,F,Y,N,0,180000.0,Pensioner,Higher education,Separated,House / apartment,-23603,365243,1,0,0,0,,1.0,-26.0,2.0
8061,M,Y,N,0,450000.0,Working,Secondary / secondary special,Married,House / apartment,-16009,-4642,1,0,0,0,Sales staff,2.0,-10.0,2.0
8062,F,N,N,0,112500.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-14174,-1405,1,1,0,0,Core staff,2.0,-12.0,1.0
8063,F,Y,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11909,-3553,1,0,0,1,,3.0,-8.0,2.0
8064,F,N,N,0,90000.0,Working,Higher education,Separated,House / apartment,-21887,-1526,1,0,0,0,Core staff,1.0,-54.0,1.0
8065,M,Y,Y,2,202500.0,Working,Higher education,Married,House / apartment,-11132,-917,1,0,1,0,Laborers,4.0,-48.0,1.0
8066,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21833,365243,1,0,0,0,,2.0,-41.0,1.0
8067,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24026,365243,1,0,1,0,,1.0,-30.0,0.0
8068,M,Y,N,1,351000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16143,-8479,1,0,0,0,Private service staff,3.0,-7.0,2.0
8069,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23969,365243,1,0,0,0,,2.0,-7.0,2.0
8070,F,N,N,3,171000.0,Working,Secondary / secondary special,Married,House / apartment,-13692,-3505,1,1,1,0,High skill tech staff,5.0,-51.0,2.0
8071,F,Y,Y,0,189000.0,Commercial associate,Higher education,Married,House / apartment,-15415,-4126,1,0,0,0,Managers,2.0,-16.0,2.0
8072,F,Y,N,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-13902,-1703,1,1,0,0,High skill tech staff,2.0,-3.0,1.0
8073,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20929,365243,1,0,0,0,,1.0,-22.0,2.0
8074,M,N,Y,0,148500.0,Working,Secondary / secondary special,Married,House / apartment,-11963,-3246,1,0,0,0,Laborers,2.0,-45.0,2.0
8075,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,-9961,-1775,1,0,0,0,,3.0,0.0,1.0
8076,F,N,Y,0,101250.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10179,-1813,1,0,1,0,Sales staff,1.0,-7.0,1.0
8077,F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,-18205,-9178,1,0,0,0,Core staff,2.0,-18.0,1.0
8078,F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-17472,-1202,1,1,1,0,,2.0,-36.0,1.0
8079,F,Y,N,0,157500.0,Working,Incomplete higher,Single / not married,House / apartment,-11406,-3078,1,1,0,0,Managers,1.0,-4.0,1.0
8080,M,N,N,3,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-14348,-727,1,0,0,1,,5.0,-42.0,2.0
8081,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20782,-2321,1,0,0,0,Laborers,2.0,-8.0,2.0
8082,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20301,-3092,1,1,1,0,Managers,2.0,-2.0,1.0
8083,F,N,Y,1,157500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-12676,-1350,1,0,0,0,Waiters/barmen staff,2.0,-37.0,1.0
8084,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-14522,-1552,1,0,0,0,Laborers,2.0,-28.0,2.0
8085,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14064,-5326,1,0,0,0,Drivers,1.0,-50.0,2.0
8086,F,Y,N,0,135000.0,Working,Incomplete higher,Civil marriage,House / apartment,-10068,-219,1,1,0,0,Sales staff,2.0,-41.0,2.0
8087,F,N,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,-22548,365243,1,0,0,0,,2.0,-10.0,2.0
8088,F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-9663,-218,1,0,0,0,,2.0,-15.0,2.0
8089,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-16767,-6195,1,0,0,0,Accountants,2.0,-53.0,2.0
8090,F,N,Y,0,121500.0,Working,Secondary / secondary special,Widow,House / apartment,-17432,-2417,1,1,1,0,,1.0,-33.0,1.0
8091,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-12135,-1216,1,0,0,0,High skill tech staff,4.0,-19.0,1.0
8092,M,N,N,0,135000.0,Working,Higher education,Single / not married,With parents,-10082,-528,1,1,1,0,,1.0,-16.0,2.0
8093,M,Y,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9187,-308,1,0,0,0,Core staff,1.0,-19.0,2.0
8094,F,N,Y,2,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-14874,-2407,1,0,0,0,Core staff,3.0,-15.0,2.0
8095,F,N,Y,0,180000.0,State servant,Higher education,Single / not married,House / apartment,-12410,-3270,1,0,0,0,Core staff,1.0,-32.0,2.0
8096,F,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-14210,-1128,1,0,0,0,Private service staff,2.0,-43.0,0.0
8097,F,N,Y,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,-19348,-3322,1,1,1,0,Laborers,1.0,-16.0,2.0
8098,F,N,Y,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,-11306,-1863,1,0,0,0,Managers,1.0,-44.0,0.0
8099,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15836,-3034,1,0,0,0,,2.0,-56.0,2.0
8100,F,N,Y,0,153000.0,Pensioner,Higher education,Married,House / apartment,-21899,365243,1,0,1,0,,2.0,-30.0,0.0
8101,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20399,365243,1,0,0,0,,2.0,-3.0,1.0
8102,F,N,N,1,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18309,365243,1,0,0,0,,3.0,-55.0,2.0
8103,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-20929,-1651,1,0,0,0,Medicine staff,1.0,-24.0,1.0
8104,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14836,-1740,1,0,0,0,Security staff,2.0,-3.0,1.0
8105,F,N,Y,0,81000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9866,-2583,1,0,0,0,Medicine staff,1.0,-28.0,2.0
8106,F,N,Y,0,167400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19028,365243,1,0,0,0,,2.0,-47.0,1.0
8107,F,N,Y,0,162000.0,Working,Higher education,Married,House / apartment,-19257,-1486,1,0,1,0,Managers,2.0,-8.0,1.0
8108,F,N,Y,0,103500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18292,-638,1,1,1,0,Laborers,2.0,-46.0,2.0
8109,F,N,Y,0,123750.0,Working,Secondary / secondary special,Married,House / apartment,-16686,-599,1,0,0,0,Cleaning staff,2.0,-43.0,2.0
8110,F,N,N,0,189000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16395,-523,1,0,0,0,Managers,2.0,-21.0,2.0
8111,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21871,-979,1,0,0,0,Drivers,2.0,-27.0,0.0
8112,M,N,N,0,135000.0,Pensioner,Higher education,Married,House / apartment,-23746,365243,1,0,0,0,,2.0,-48.0,0.0
8113,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23510,-1144,1,0,1,0,Security staff,2.0,-37.0,2.0
8114,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17890,-200,1,0,0,0,,2.0,-17.0,2.0
8115,F,Y,Y,1,157500.0,Working,Higher education,Married,With parents,-10845,-521,1,0,0,1,High skill tech staff,3.0,-17.0,2.0
8116,F,N,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-14852,-502,1,0,0,0,Laborers,3.0,-30.0,1.0
8117,F,Y,N,0,45000.0,Working,Secondary / secondary special,Married,House / apartment,-17370,-8443,1,1,1,0,,2.0,-11.0,2.0
8118,F,N,Y,0,292500.0,Working,Higher education,Single / not married,House / apartment,-17388,-1662,1,0,1,1,Managers,1.0,-1.0,1.0
8119,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23465,365243,1,0,0,0,,1.0,-27.0,2.0
8120,F,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12539,-2747,1,1,0,0,,4.0,-22.0,2.0
8121,M,Y,Y,2,337500.0,State servant,Secondary / secondary special,Married,Office apartment,-12977,-3970,1,0,0,0,Laborers,4.0,-30.0,2.0
8122,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,1,0,0,0,Laborers,2.0,-49.0,2.0
8123,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Widow,Co-op apartment,-20178,-1707,1,0,0,0,Sales staff,1.0,-35.0,2.0
8124,F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-19488,-3119,1,1,0,0,Sales staff,2.0,-24.0,2.0
8125,M,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17844,-1095,1,0,0,0,Sales staff,1.0,-12.0,2.0
8126,F,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11621,-1229,1,0,0,0,Laborers,2.0,-32.0,0.0
8127,F,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-13100,-2013,1,0,0,1,,2.0,0.0,1.0
8128,F,Y,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-10213,-1707,1,0,0,0,Managers,2.0,-24.0,2.0
8129,F,N,N,0,139500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20863,365243,1,0,0,0,,2.0,-3.0,1.0
8130,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396,-564,1,0,0,1,IT staff,2.0,-29.0,0.0
8131,F,Y,N,0,180000.0,Working,Higher education,Married,Municipal apartment,-17918,-2005,1,0,0,0,,2.0,-45.0,2.0
8132,F,Y,Y,0,121500.0,State servant,Secondary / secondary special,Married,House / apartment,-19988,-3231,1,1,0,0,,2.0,-35.0,2.0
8133,M,Y,Y,0,94500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14138,-1072,1,0,0,0,Drivers,1.0,-15.0,2.0
8134,F,Y,Y,2,225000.0,Commercial associate,Higher education,Married,House / apartment,-14100,-3623,1,0,0,0,Private service staff,4.0,-6.0,2.0
8135,F,Y,Y,1,157500.0,Working,Lower secondary,Married,House / apartment,-14400,-1435,1,0,0,0,Sales staff,3.0,-34.0,1.0
8136,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18150,-1812,1,0,0,0,Drivers,3.0,-8.0,2.0
8137,F,N,Y,0,157500.0,State servant,Secondary / secondary special,Widow,House / apartment,-22887,-2052,1,0,1,0,Drivers,1.0,-12.0,1.0
8138,M,Y,N,0,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21990,365243,1,0,1,0,,2.0,-49.0,2.0
8139,F,N,Y,0,54000.0,Working,Higher education,Married,House / apartment,-13768,-747,1,0,0,0,,2.0,-34.0,2.0
8140,F,N,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-21215,-808,1,0,0,0,Medicine staff,2.0,-31.0,2.0
8141,F,N,Y,0,76500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23434,365243,1,0,0,0,,1.0,-14.0,2.0
8142,F,Y,Y,1,67500.0,Working,Secondary / secondary special,Married,With parents,-17206,-1401,1,0,0,0,Laborers,3.0,-11.0,2.0
8143,F,N,Y,1,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17106,-2849,1,0,0,0,Managers,3.0,-48.0,2.0
8144,M,Y,N,3,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10048,-3475,1,1,0,0,,5.0,-20.0,2.0
8145,F,Y,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-17052,-3055,1,0,0,0,Sales staff,2.0,-23.0,2.0
8146,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-17477,-1042,1,0,0,0,,2.0,-1.0,1.0
8147,M,N,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13639,-430,1,0,0,0,Laborers,4.0,-20.0,2.0
8148,F,Y,N,1,360000.0,Working,Higher education,Widow,House / apartment,-16480,-4023,1,0,0,1,Managers,2.0,-41.0,2.0
8149,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-20814,-7871,1,0,1,0,,1.0,-8.0,1.0
8150,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24324,365243,1,0,0,0,,1.0,-43.0,2.0
8151,F,N,Y,0,283500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21705,365243,1,0,0,0,,2.0,-15.0,2.0
