title,distributor,genre,release_time,time,screening_rat,director,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,box_off_num
기적의 피아노,롯데엔터테인먼트,다큐멘터리,2015-09-03,80,전체 관람가,임성구,9438.0,1,2,5,8567
풍경,인디스토리,다큐멘터리,2013-12-12,96,전체 관람가,장률,,0,4,14,2178
마이 플레이스,KT&G 상상마당,다큐멘터리,2014-01-30,77,전체 관람가,박문칠,399.0,2,17,1,2951
철암 계곡의 혈투,인디스토리,액션,2012-07-12,89,청소년 관람불가,지하진,,0,5,2,1002
기화,아방가르드 필름,드라마,2015-02-26,127,청소년 관람불가,문정윤,,0,74,4,831
배꼽과 무릎사이,스크린조이,멜로/로맨스,2014-05-22,67,청소년 관람불가,이숭환,,0,18,3,7448
로사,와이드릴리즈(주),드라마,2014-05-29,86,청소년 관람불가,맹관표,50699.0,1,89,3,1831
나는 왕이로소이다,롯데엔터테인먼트,드라마,2012-08-08,120,12세 관람가,장규성,1013172.0,2,402,7,790181
시간의 숲,tvN,다큐멘터리,2012-04-19,96,12세 관람가,송일곤,348084.0,3,2,2,1556
특수본,롯데엔터테인먼트,액션,2011-11-24,111,15세 관람가,황병국,,0,253,6,1118258
누구에게나 찬란한,CGV아트하우스,다큐멘터리,2014-11-06,87,전체 관람가,임유철,227304.0,1,125,4,21002
태아 3D,(주)팝엔터테인먼트,다큐멘터리,2013-04-18,80,전체 관람가,표만석,,0,15,2,712
러시안 소설,KT&G 상상마당,드라마,2013-09-19,140,15세 관람가,신연식,,0,29,2,5992
노리개,인벤트 디,드라마,2013-04-18,95,청소년 관람불가,최승호,5741.0,2,97,4,169064
한공주,무비꼴라쥬,드라마,2014-04-17,112,청소년 관람불가,이수진,1174495.0,1,183,3,225839
우리들의 헤어진 여자친구,골든타이드픽처스,멜로/로맨스,2013-08-29,89,청소년 관람불가,이광호,,0,1,5,599
비밀애,시너지,멜로/로맨스,2010-03-25,111,청소년 관람불가,류훈,1799447.0,1,333,2,164252
굿바이 그리고 헬로우,(주) 액티버스엔터테인먼트,드라마,2015-12-24,82,12세 관람가,한창근,,0,23,4,329
은밀한 방문자,(주) 케이알씨지,멜로/로맨스,2015-09-16,72,청소년 관람불가,윤여창,988.0,1,20,4,397
지구대표 롤링스타즈,롯데엔터테인먼트,애니메이션,2011-03-24,83,전체 관람가,임상준,,0,2,9,35578
젊은엄마 : 내 나이가 어때서,골든타이드픽처스,드라마,2015-05-07,95,청소년 관람불가,김일종,187048.0,2,19,2,916
프랑스인 김명실,어뮤즈,다큐멘터리,2014-06-26,75,전체 관람가,이지현,,0,20,3,241
"님아, 그 강을 건너지 마오",CGV아트하우스,다큐멘터리,2014-11-27,86,전체 관람가,진모영,5105.0,1,3,2,4802169
분노의 윤리학,롯데엔터테인먼트,느와르,2013-02-21,110,청소년 관람불가,박명랑,151105.0,1,215,5,225618
가시,인벤트 디,서스펜스,2014-04-10,117,청소년 관람불가,김태균,,0,207,2,142170
참을 수 없는,시너지,멜로/로맨스,2010-10-21,114,청소년 관람불가,권칠인,,0,292,4,75740
안녕? 오케스트라,영화사 진진,다큐멘터리,2013-11-28,85,전체 관람가,이철하,,0,1,1,15530
위선자들,더픽쳐스/(주)마운틴픽쳐스,드라마,2015-11-26,104,청소년 관람불가,김진홍,57943.0,1,63,8,9566
퀴즈왕,시네마서비스,코미디,2010-09-16,121,15세 관람가,장진,,0,273,13,573001
탐욕의 제국,시네마달,다큐멘터리,2014-03-06,92,12세 관람가,홍리경,,0,7,3,5808
아름다운 유산,제나두 엔터테인먼트,드라마,2011-04-14,104,전체 관람가,김창만,,0,0,6,678
흉터,(주)키노아이,드라마,2011-10-13,65,15세 관람가,임우성,,0,17,2,256
군사통제구역 팔이공지대,골든타이드픽처스,미스터리,2013-07-25,89,청소년 관람불가,구모,,0,12,3,813
감기,(주)아이필름코퍼레이션,드라마,2013-08-14,121,15세 관람가,김성수,72.5,2,458,3,3117859
숫호구,(주)엣나인필름,코미디,2014-08-07,80,청소년 관람불가,백승기,,0,48,3,2117
반짝이는 박수 소리,KT&G 상상마당,다큐멘터리,2015-04-23,80,전체 관람가,이길보라,,0,16,4,5648
태양을 쏴라,조이앤시네마,멜로/로맨스,2015-03-19,87,청소년 관람불가,김태식,,0,100,2,17444
들개,무비꼴라쥬,드라마,2014-04-03,102,청소년 관람불가,김정훈,,0,143,2,3333
착한 처제,쟈비스미디어,드라마,2015-11-19,97,청소년 관람불가,강훈,,0,0,2,588
모차르트 타운,트리필름,드라마,2011-09-15,90,청소년 관람불가,전규환,,0,16,3,446
파일:4022일의 사육,골든타이드픽처스,미스터리,2015-12-10,92,청소년 관람불가,박용집,695201.5,2,103,3,1414
밍크코트,인디스토리,드라마,2012-01-12,91,15세 관람가,신아가,736729.5,2,9,4,3223
남자가 사랑할 때,(주)NEW,드라마,2014-01-22,120,15세 관람가,한동욱,2723028.0,1,433,2,1980050
타워,CJ E&M 영화부문,드라마,2012-12-25,121,12세 관람가,김지훈,2849087.5,4,126,3,5181014
소명 하늘의 별,에스피엠,다큐멘터리,2013-03-21,75,12세 관람가,신현원,30751.5,2,3,5,11666
훈장과 악동들,어뮤즈,다큐멘터리,2011-10-27,92,전체 관람가,김봉곤,,0,0,1,39916
여의도,어뮤즈,드라마,2010-12-02,87,청소년 관람불가,송정우,,0,178,4,5322
내 심장을 쏴라,(주)리틀빅픽처스,드라마,2015-01-28,102,15세 관람가,문제용,1112957.66666667,3,273,2,387408
멜로,BoXoo 엔터테인먼트,드라마,2014-04-24,119,청소년 관람불가,이로이,,0,105,2,385
패밀리마트,건시네마,드라마,2010-11-25,91,청소년 관람불가,김건,,0,90,4,162
통통한 혁명,(주)마운틴픽쳐스,멜로/로맨스,2012-08-02,85,12세 관람가,민두식,,0,50,2,557
가시꽃,인디스토리,드라마,2013-08-22,103,청소년 관람불가,이돈구,,0,21,2,1759
시라노; 연애조작단,롯데엔터테인먼트,멜로/로맨스,2010-09-16,117,12세 관람가,김현석,1158640.0,2,342,8,2684798
소수의견,시네마서비스,드라마,2015-06-24,126,15세 관람가,김성제,481722.75,4,287,3,383582
조난자들,CJ 엔터테인먼트,미스터리,2014-03-06,99,15세 관람가,노영석,,0,199,2,13190
오직 그대만,(주)쇼박스,멜로/로맨스,2011-10-20,105,15세 관람가,송일곤,8235.0,2,110,2,1027782
넛잡: 땅콩 도둑들,싸이더스,애니메이션,2014-01-29,86,전체 관람가,피터 레페니오티스,,0,16,4,479280
원 나잇 스탠드,KT&G 상상마당,드라마,2010-05-04,98,청소년 관람불가,민용근,,0,106,10,2124
가비,시네마서비스,미스터리,2012-03-15,115,15세 관람가,장윤현,627301.666666667,3,95,4,270602
60만번의 트라이,인디스토리,다큐멘터리,2014-09-18,106,12세 관람가,박사유,,0,37,5,21483
"자, 이제 댄스타임",키노엔터테인먼트,다큐멘터리,2014-06-26,83,15세 관람가,조세영,891.0,1,51,2,1351
천안함 프로젝트,(주)아우라픽처스,다큐멘터리,2013-09-05,75,12세 관람가,백승우,332643.0,1,19,1,21317
당신은 아름답다,마운틴 픽처스,다큐멘터리,2010-08-26,75,전체 관람가,백승창,481459.25,4,0,1,240
영화판,(주)마운틴픽쳐스,다큐멘터리,2012-12-06,83,12세 관람가,허철,,0,25,2,1561
레바논 감정,어뮤즈,공포,2014-02-27,106,청소년 관람불가,정영헌,2972299.0,1,10,3,1523
순수의 시대,CJ 엔터테인먼트,드라마,2015-03-05,113,청소년 관람불가,안상훈,2367942.0,1,642,4,470308
가자! 장미여관으로 2 - 갈증,에이블엔터테인먼트,멜로/로맨스,2014-04-10,87,청소년 관람불가,김봉은,,0,27,4,3534
집,CJ 엔터테인먼트,애니메이션,2011-03-17,83,15세 관람가,박미선,,0,198,6,81
미안해 사랑해 고마워,(주)쇼박스,드라마,2015-10-28,115,15세 관람가,전윤수,1289931.5,2,356,6,51207
"가자, 장미여관으로",드림로드,멜로/로맨스,2014-10-08,85,청소년 관람불가,김봉은,,0,26,2,1533
영건 탐정사무소,인디스토리,SF,2012-08-30,95,청소년 관람불가,오영두,430920.5,2,31,4,957
미션: 톱스타를 훔쳐라,드림팩트 엔터테인먼트,코미디,2015-09-03,85,청소년 관람불가,노병하,,0,43,5,512
무산일기,영화사 진진,드라마,2011-04-14,127,15세 관람가,박정범,,0,77,3,11260
심장이 뛴다,롯데엔터테인먼트,드라마,2011-01-05,114,15세 관람가,윤재근,614697.5,2,364,2,1025243
우쿨렐레 사랑모임,어뮤즈,다큐멘터리,2012-07-19,60,전체 관람가,노효두,,0,2,5,328
최종병기 활,롯데엔터테인먼트,액션,2011-08-10,122,15세 관람가,김한민,2079989.0,1,687,4,7482180
"안녕, 전우치! 도술로봇대결전",(주)리틀빅픽처스,애니메이션,2015-10-08,88,전체 관람가,김대창,,0,5,6,13113
히말라야,CJ 엔터테인먼트,드라마,2015-12-16,124,12세 관람가,이석훈,3549473.0,4,520,2,7759711
맛있는 인생,스폰지,드라마,2010-10-28,97,15세 관람가,조성규,,0,66,2,900
청아,인피니티엔터테인먼트,드라마,2014-09-25,92,청소년 관람불가,김정호,,0,3,4,2
내 남자의 순이,새인컴퍼니,코미디,2010-05-27,91,15세 관람가,김호준,402735.33333333296,3,131,3,10449
검은 사제들,CJ 엔터테인먼트,미스터리,2015-11-05,108,15세 관람가,장재현,6720926.5,2,369,2,5443049
춤추는 숲,스튜디오 느림보,다큐멘터리,2013-05-23,95,전체 관람가,강석필,,0,18,4,8695
배우는 배우다,(주)NEW,드라마,2013-10-24,98,청소년 관람불가,신연식,,0,196,2,112029
약장수,나이너스엔터테인먼트(주),드라마,2015-04-23,104,15세 관람가,조치언,,0,193,3,44216
마음이 2,롯데엔터테인먼트,드라마,2010-07-21,92,전체 관람가,이정철,,0,359,5,696382
다른나라에서,(주) 영화제작전원사,드라마,2012-05-31,89,청소년 관람불가,홍상수,,0,70,2,31101
철의 꿈,영화사 진진,다큐멘터리,2014-11-13,100,전체 관람가,박경근,,0,33,1,1440
블랙딜,인디플러그,다큐멘터리,2014-07-03,87,12세 관람가,이조훈,,0,23,1,9301
폴라로이드,와이드 릴리즈(주),드라마,2015-07-16,106,전체 관람가,주호성,17857.0,1,7,3,12457
붉은 바캉스 검은 웨딩 2,필름라인,공포,2013-11-28,88,청소년 관람불가,최위안,,0,1,3,5100
유신의 추억 - 다카키 마사오의 전성시대,M2픽처스,다큐멘터리,2012-11-22,75,12세 관람가,이정황,,0,2,3,1045
스톤,씨너스엔터테인먼트(주),드라마,2014-06-12,109,15세 관람가,조세래,1124.0,1,204,3,18061
타부 : 금지된 사랑,고구마공작소,멜로/로맨스,2015-09-03,78,청소년 관람불가,고구마,17615314.0,1,27,3,8
바보야,(주)마운틴픽쳐스,다큐멘터리,2011-04-21,73,전체 관람가,강성옥,,0,0,2,17912
너는 펫,롯데엔터테인먼트,멜로/로맨스,2011-11-10,110,12세 관람가,김병곤,,0,92,2,543313
그녀가 부른다,(주)미디어데이,멜로/로맨스,2013-12-26,97,15세 관람가,박은형,409411.5,2,49,2,2802
그리고 싶은 것,시네마달,다큐멘터리,2013-08-15,92,전체 관람가,권효,891.0,1,24,4,5014
야간비행,(주)엣나인필름,드라마,2014-08-28,134,청소년 관람불가,이송희일,3154.0,2,139,5,9272
48미터,CJ 엔터테인먼트,드라마,2013-07-04,97,15세 관람가,민백두,57943.0,1,78,4,13886
"빗자루, 금붕어 되다",마노엔터테인먼트,드라마,2010-09-30,80,15세 관람가,김동주,,0,20,3,742
소와 함께 여행하는 법,롯데엔터테인먼트,드라마,2010-11-03,108,15세 관람가,임순례,20380.0,1,263,3,16096
홍길동 2084,타임스토리그룹,애니메이션,2011-08-18,85,전체 관람가,이정인,,0,2,5,4586
결정적 한방,화앤담이엔티,드라마,2011-12-07,100,15세 관람가,박중구,,0,237,4,60944
필름시대사랑,(주)스마일이엔티,드라마,2015-10-22,70,15세 관람가,장률,,0,94,4,1611
페이스메이커,시너지,드라마,2012-01-18,124,12세 관람가,김달중,,0,496,4,467697
"굿바이, 평양",(주)키노아이,다큐멘터리,2011-03-03,82,전체 관람가,양영희,2497.0,1,17,5,2969
몬스터,롯데엔터테인먼트,공포,2014-03-13,114,청소년 관람불가,황인호,1264761.5,4,336,3,526547
시,(주)NEW,드라마,2010-05-13,139,15세 관람가,이창동,99430.0,1,310,1,218898
소명 2 - 모겐족의 월드컵,에스피엠,다큐멘터리,2010-04-01,92,전체 관람가,신현원,,0,15,6,29668
오디세오,(주)패뷸러스,뮤지컬,2015-10-22,80,전체 관람가,정성복,,0,0,0,862
경성학교: 사라진 소녀들,롯데엔터테인먼트,미스터리,2015-06-18,99,15세 관람가,이해영,917362.2,5,284,3,356436
친정엄마,싸이더스 FNH,드라마,2010-04-22,108,전체 관람가,유성엽,,0,240,2,472009
카운트다운,NEW,액션,2011-09-29,119,청소년 관람불가,허종호,1086916.0,2,109,2,471547
연애의 기술,(주)팝엔터테인먼트,멜로/로맨스,2013-10-30,91,청소년 관람불가,이수성,11577.5,2,2,3,8923
쎄시봉,CJ 엔터테인먼트,멜로/로맨스,2015-02-05,122,15세 관람가,김현석,1468215.75,4,566,8,1715370
더 폰,(주)NEW,액션,2015-10-22,114,15세 관람가,김봉주,2500135.0,4,437,3,1596762
도둑들,(주)쇼박스,느와르,2012-07-25,135,15세 관람가,최동훈,2564691.66666667,3,462,10,12983841
꿈의 공장,시네마달,다큐멘터리,2011-09-01,87,12세 관람가,김성균,,0,6,8,888
달팽이의 별,영화사 조아,멜로/로맨스,2012-03-22,85,전체 관람가,이승준,,0,21,2,20081
경주,인벤트 디,드라마,2014-06-12,145,15세 관람가,장률,,0,85,4,63517
계몽영화,인디스토리,드라마,2010-09-16,121,15세 관람가,박동훈,,0,212,5,2493
치외법권,판씨네마(주),액션,2015-08-27,104,15세 관람가,신재호,93748.0,3,253,2,346483
친절한 가정부,BoXoo 엔터테인먼트,코미디,2015-02-26,75,청소년 관람불가,노진수,,0,4,4,166
잉여들의 히치하이킹,무비꼴라쥬,다큐멘터리,2013-11-28,105,12세 관람가,이호재,,0,1,4,29478
녹색의자 2013 - 러브 컨셉츄얼리,(주)마운틴픽쳐스,멜로/로맨스,2013-10-31,97,청소년 관람불가,박철수,,0,42,2,366
사사건건,KT&G 상상마당,드라마,2010-01-21,91,청소년 관람불가,이정욱,,0,148,8,1143
국제시장,CJ 엔터테인먼트,드라마,2014-12-17,126,12세 관람가,윤제균,,0,869,4,14262766
"앵두야, 연애하자",홀리가든,드라마,2013-06-06,98,15세 관람가,정하린,,0,34,4,3177
비치하트애솔,골든타이드픽처스,드라마,2015-01-29,100,청소년 관람불가,이난,517314.66666666704,3,101,2,279
행복한 울릉인,마운틴 픽처스,다큐멘터리,2010-02-25,76,전체 관람가,황석호,,0,3,2,1068
뭘 또 그렇게까지,스폰지,멜로/로맨스,2010-04-29,78,12세 관람가,전계수,8052.5,2,69,3,409
내부자들: 디 오리지널,(주)쇼박스,느와르,2015-12-31,180,청소년 관람불가,우민호,3131902.0,3,382,3,2084844
열한시,CJ 엔터테인먼트,공포,2013-11-28,99,15세 관람가,김현석,1667359.33333333,3,277,3,870785
미확인 동영상 : 절대클릭금지,(주)쇼박스,공포,2012-05-30,93,15세 관람가,김태경,362290.0,2,197,3,867386
화장,리틀빅픽쳐스,드라마,2015-04-09,94,청소년 관람불가,임권택,138190.0,1,309,3,142609
마당을 나온 암탉,롯데엔터테인먼트,애니메이션,2011-07-28,93,전체 관람가,오성윤,,0,36,5,2202788
퍼펙트 게임,롯데엔터테인먼트,드라마,2011-12-21,127,12세 관람가,박희곤,1187684.0,1,134,3,1507084
여배우는 너무해,인벤트 디,멜로/로맨스,2014-02-27,95,청소년 관람불가,유정환,1062385.66666667,3,129,2,2673
복숭아나무,(주)NEW,드라마,2012-10-31,106,15세 관람가,구혜선,,0,41,3,33902
방독피,두 엔터테인먼트,미스터리,2013-08-22,123,청소년 관람불가,김곡,,0,8,4,647
캐릭터,(주) 영화사조제,드라마,2012-05-14,99,12세 관람가,손광주,,0,14,2,110
백프로,(주)마인스 엔터테인먼트,코미디,2014-04-03,109,15세 관람가,김명균,462441.66666666704,3,191,6,37909
공모자들,씨너스엔터테인먼트(주),느와르,2012-08-29,111,청소년 관람불가,김홍선,,0,284,4,1646142
무게,NEW,드라마,2013-11-07,108,청소년 관람불가,전규환,,0,13,2,1161
로맨스 조,씨네그루(주)키다리이엔티,드라마,2012-03-08,115,15세 관람가,이광국,,0,49,4,3591
명령불복종 교사,인디플러그,다큐멘터리,2015-05-14,96,전체 관람가,서동일,,0,3,0,1827
영도다리,(주)마운틴픽쳐스,드라마,2010-07-01,81,청소년 관람불가,전수일,984.0,1,85,1,1693
건축학개론,롯데엔터테인먼트,멜로/로맨스,2012-03-22,118,12세 관람가,이용주,126062.0,2,288,4,4113446
인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,골든타이드픽처스,다큐멘터리,2012-10-18,98,전체 관람가,손석,16844.0,1,0,1,39577
주유소 습격사건 2,시네마서비스,코미디,2010-01-21,111,15세 관람가,김상진,3907784.5,4,402,4,729834
달빛 길어올리기,전주국제영화제,드라마,2011-03-17,118,15세 관람가,임권택,138190.0,1,336,5,57261
헬로우 고스트,NEW,코미디,2010-12-22,111,12세 관람가,김영탁,1876998.66666667,3,369,6,3019960
평양성,롯데엔터테인먼트,코미디,2011-01-27,117,12세 관람가,이준익,,0,499,5,1717566
피끓는 청춘,롯데엔터테인먼트,코미디,2014-01-22,121,15세 관람가,이연우,3024666.0,1,298,4,1676040
돈의 맛,시너지,드라마,2012-05-17,115,청소년 관람불가,임상수,1276480.0,2,324,4,1166025
야관문 : 욕망의 꽃,(주)마운틴픽쳐스,미스터리,2013-11-07,95,청소년 관람불가,임경수,593867.0,1,30,2,6085
열애,(주) 케이알씨지,멜로/로맨스,2014-07-23,84,청소년 관람불가,이숭환,,0,42,3,1564
설인,CJ 엔터테인먼트,SF,2013-03-14,91,청소년 관람불가,이사무엘,57.0,1,162,2,988
태어나서 미안해,CJ 엔터테인먼트,드라마,2012-03-08,80,15세 관람가,최영석,,0,51,3,201
깔깔깔 희망버스,(주)마운틴픽쳐스,다큐멘터리,2012-09-27,84,15세 관람가,이수정,533.5,2,3,3,691
내가 고백을 하면,(주)마인스엔터테인먼트,드라마,2012-11-15,100,15세 관람가,조성규,,0,32,2,11969
다이빙벨,시네마달,다큐멘터리,2014-10-23,77,15세 관람가,이상호,,0,35,1,50308
오피스,리틀빅픽처스,공포,2015-09-03,111,15세 관람가,홍원찬,2888383.5,4,264,2,441208
타짜-신의 손,롯데엔터테인먼트,드라마,2014-09-03,147,청소년 관람불가,강형철,7838528.5,2,583,4,4015364
전망 좋은 방-밀애,(주) 케이알씨지,멜로/로맨스,2012-11-08,71,청소년 관람불가,이세일,,0,0,3,10
핑크,(주)마운틴픽쳐스,드라마,2012-03-15,97,청소년 관람불가,전수일,984.0,1,49,2,971
코리아,CJ 엔터테인먼트,드라마,2012-05-03,127,12세 관람가,문현성,2376429.33333333,3,419,2,1872682
이쁜 것들이 되어라,무비꼴라쥬,멜로/로맨스,2014-04-17,99,15세 관람가,한승훈,234261.0,1,54,3,542
미스체인지,(주) 브릿지웍스,코미디,2013-09-05,100,청소년 관람불가,정초신,813164.0,1,75,4,6054
부귀영화,(주)마운틴픽쳐스,다큐멘터리,2012-10-25,85,15세 관람가,인진미,,0,11,3,158
은실이,CJ 엔터테인먼트,애니메이션,2012-03-08,71,청소년 관람불가,김선아,,0,17,3,218
허삼관,(주)NEW,드라마,2015-01-14,124,12세 관람가,하정우,,0,412,2,956103
오월愛,상구네 필름,다큐멘터리,2011-05-12,104,전체 관람가,김태일,,0,4,0,4092
꿈보다 해몽,KT&G 상상마당,드라마,2015-02-12,98,15세 관람가,이광국,,0,91,3,4486
마이 블랙 미니드레스,CJ 엔터테인먼트,드라마,2011-03-24,108,15세 관람가,허인무,,0,399,4,313953
마마 앤드 파파,케이엠스타,드라마,2010-05-20,117,전체 관람가,장태령,,0,76,4,3099
전설의 주먹,CJ 엔터테인먼트,액션,2013-04-10,153,청소년 관람불가,강우석,844821.0,3,335,6,1744585
들개들,골든타이드픽처스,공포,2014-01-23,99,청소년 관람불가,하원준,38770.0,2,74,3,1617
짐승,(주)키노아이,액션,2011-07-28,93,청소년 관람불가,황유식,506419.0,2,54,2,480
보라,시네마달,다큐멘터리,2011-11-24,136,전체 관람가,이강현,,0,7,0,389
환타스틱 러브짐: 전쟁 같은 사랑,(주)유비네트워크,코미디,2015-10-08,83,청소년 관람불가,한우진,,0,7,7,303
캠퍼스 S 커플,(주) 액티버스엔터테인먼트,멜로/로맨스,2014-05-15,108,청소년 관람불가,송창용,664267.0,2,66,4,891
한민족 그리고 조선족,한국YWCA연합회,다큐멘터리,2014-12-10,61,전체 관람가,전화성,345.333333333333,3,2,6,71
신의 한 수,(주)쇼박스,느와르,2014-07-03,118,청소년 관람불가,조범구,1731903.0,2,418,5,3566844
나는 야한 여자가 좋다 2,드림로드,멜로/로맨스,2014-10-01,80,청소년 관람불가,김봉은,3534.0,1,26,2,1250
투혼,시너지,드라마,2011-10-06,124,전체 관람가,김상진,3907784.5,4,335,4,210970
젊은 엄마 2,골든타이드픽처스,멜로/로맨스,2014-05-29,89,청소년 관람불가,노성수,,0,0,1,1
플랜맨,롯데엔터테인먼트,코미디,2014-01-09,115,15세 관람가,성시흡,5046096.0,1,192,2,635744
미스터 고,(주)쇼박스,드라마,2013-07-17,132,12세 관람가,김용화,6081480.0,1,422,2,1329061
손님,CJ 엔터테인먼트,SF,2015-07-09,107,15세 관람가,김광태,522925.0,3,367,4,828029
"의궤, 8일간의 축제 3D",KBS미디어(주),다큐멘터리,2014-04-17,73,전체 관람가,최필곤,,0,3,1,7956
나쁜 나라,(주)시네마달,다큐멘터리,2015-12-03,120,12세 관람가,김진열,,0,2,0,21576
산다,리틀빅픽처스,드라마,2015-05-21,166,청소년 관람불가,박정범,,0,180,4,4398
트루맛쇼,더 피플,다큐멘터리,2011-06-02,70,12세 관람가,김재환,,0,20,1,12341
조선안방 스캔들-칠거지악,(주) 케이알씨지,멜로/로맨스,2015-10-22,76,청소년 관람불가,이전,,0,10,4,368
붉은 가족,김기덕 필름,드라마,2013-11-06,99,15세 관람가,이주형,,0,61,3,3916
악마를 보았다,(주)쇼박스,느와르,2010-08-12,144,청소년 관람불가,김지운,,0,582,2,1817069
U.F.O.,인디스토리,드라마,2012-05-24,91,청소년 관람불가,공귀현,,0,70,4,1240
중독애,(주) 케이알씨지,멜로/로맨스,2014-07-16,83,청소년 관람불가,한소준,,0,24,4,1547
방자전,CJ 엔터테인먼트,드라마,2010-06-02,124,청소년 관람불가,김대우,768549.333333333,3,481,3,2985556
김종욱 찾기,CJ 엔터테인먼트,멜로/로맨스,2010-12-08,112,12세 관람가,장유정,,0,547,2,1122225
슬기로운 해법,시네마달,다큐멘터리,2014-05-15,94,12세 관람가,태준식,,0,24,3,4766
나의 불행에는 이유가 있다,위드시네마,드라마,2010-11-25,86,15세 관람가,한상민,,0,0,4,46
춤추는 동물원,인디플러그,드라마,2010-12-02,114,15세 관람가,김효정,,0,61,2,865
줄탁동시,인디스토리,드라마,2012-03-01,119,청소년 관람불가,김경묵,,0,18,2,3694
블러디 쉐이크,팜코리아미디어,드라마,2010-05-27,105,청소년 관람불가,김지용,,0,121,7,721
고양이: 죽음을 보는 두 개의 눈,(주)NEW,공포,2011-07-07,106,15세 관람가,변승욱,200836.0,1,61,3,672340
"실론, 세렌디피티",(주)씨엠닉스,드라마,2015-12-14,108,15세 관람가,권중목,,0,23,2,136
최후의 툰드라 - 극장판,SBS콘텐츠허브,다큐멘터리,2011-02-17,101,전체 관람가,장경수,,0,3,1,10203
탐정 : 더 비기닝,CJ 엔터테인먼트,코미디,2015-09-24,120,15세 관람가,김정훈,1689216.5,2,438,2,2625686
"60년전, 사선에서",인터콘미디어,다큐멘터리,2010-06-24,63,전체 관람가,박성미,,0,10,0,79
공정사회,(주)엣나인필름,드라마,2013-04-18,75,청소년 관람불가,이지승,,0,93,4,14537
이웃사람,롯데엔터테인먼트,공포,2012-08-22,115,청소년 관람불가,김휘,2429219.33333333,3,257,8,2434435
여배우 공작단,(주) 케이알씨지,멜로/로맨스,2014-06-19,74,청소년 관람불가,전태윤,,0,7,4,2729
"광해, 왕이 된 남자",CJ 엔터테인먼트,드라마,2012-09-13,131,15세 관람가,추창민,1552541.0,2,402,3,12323595
앨리스: 원더랜드에서 온 소년,(주)유비콘텐츠,SF,2015-12-10,115,15세 관람가,허은희,,0,82,3,9323
"어떤 여행, 시민창작뮤지컬",(주)마운틴픽쳐스,다큐멘터리,2015-05-07,79,전체 관람가,김정욱,,0,14,1,112
우리는 형제입니다,(주)쇼박스,코미디,2014-10-23,102,12세 관람가,장진,73729.0,1,357,4,970377
순교,파이오니아21,다큐멘터리,2015-08-13,83,전체 관람가,김상철,33039.5,2,19,6,16248
네버엔딩 스토리,화앤담이엔티,멜로/로맨스,2012-01-18,114,15세 관람가,정용주,8.0,1,200,2,283449
연애의 온도,롯데엔터테인먼트,멜로/로맨스,2013-03-21,112,청소년 관람불가,노덕,145.0,1,252,2,1865354
연가시,CJ 엔터테인먼트,드라마,2012-07-05,109,15세 관람가,박정우,578474.5,2,128,4,4515833
미쓰GO,NEW,코미디,2012-06-21,115,15세 관람가,박철관,,0,120,5,611685
그 사람 추기경,(주)프레인글로벌,다큐멘터리,2014-08-06,121,전체 관람가,전성우,,0,54,1,13538
엄마에게,어뮤즈,드라마,2012-05-31,72,전체 관람가,이홍재,1174495.0,1,86,4,574
뷰티풀 차일드,(주)마운틴픽쳐스,다큐멘터리,2013-11-28,93,전체 관람가,이성수,,0,9,1,703
감시자들,(주)NEW,느와르,2013-07-03,119,15세 관람가,조의석,80741.0,2,331,3,5508299
성난 변호사,CJ 엔터테인먼트,느와르,2015-10-08,117,15세 관람가,허종호,881793.0,3,431,3,1131154
스파이 파파,마노엔터테인먼트,드라마,2011-10-27,80,전체 관람가,한승룡,1200.0,1,53,4,484
웨딩드레스,싸이더스,드라마,2010-01-14,109,전체 관람가,권형진,462623.0,1,261,2,143458
수상한 그녀,CJ 엔터테인먼트,코미디,2014-01-22,124,15세 관람가,황동혁,2781990.5,2,437,5,8659725
황해,(주)쇼박스,느와르,2010-12-22,156,청소년 관람불가,나홍진,5046096.0,1,683,3,2260512
나의 사랑 나의 신부,씨네그루(주)키다리이엔티,멜로/로맨스,2014-10-08,111,15세 관람가,임찬상,748380.0,1,287,2,2141155
피해자들,골든타이드픽처스,드라마,2014-07-31,89,청소년 관람불가,노진수,,0,81,2,494
차이나 블루,프로젝트 엠피,드라마,2012-12-13,102,청소년 관람불가,김건,,0,101,3,482
려수,(주) 영화사조제,드라마,2011-11-10,98,15세 관람가,진광교,,0,1,2,36
나인뮤지스; 그녀들의 서바이벌,하준사,다큐멘터리,2014-09-25,82,12세 관람가,이학준,,0,0,1,600
데드 엔드,마노엔터테인먼트,미스터리,2013-11-14,96,청소년 관람불가,윤여창,,0,38,3,205
인 허 플레이스,홀리가든,드라마,2015-12-17,115,청소년 관람불가,알버트 신,,0,28,3,1599
끝까지 간다,(주)쇼박스,느와르,2014-05-29,111,15세 관람가,김성훈,436101.5,2,343,2,3450305
뷰티 인사이드,(주)NEW,멜로/로맨스,2015-08-20,127,12세 관람가,백종열,4210890.33333333,3,572,22,2057896
대호,(주)NEW,드라마,2015-12-16,139,12세 관람가,박훈정,2270048.5,2,612,1,1762733
몽골리안 프린세스,(주) 영화사조제,멜로/로맨스,2015-03-19,80,청소년 관람불가,정단우,,0,34,3,424
